titles,distros,department,time,location,professor,description,courseNum,meet
Federal Reserve Challenge,AMR DED ,Economics ,1:30pm-4:15pm,"Warner Hall 100 (WNS 100)
		",Erin Wolcott ,"
In this course we will study the tools of monetary policy to achieve the Federal Reserve’s dual mandate of maximum employment and stable prices.  We will use macroeconomic theory, data, and cutting-edge research to analyze current economic conditions.  The class will formulate a monetary policy recommendation for the U.S. central bank, emulating the Federal Open Market Committee, and five members of the class will present this recommendation in the annual Fed Challenge Competition at the Federal Reserve Bank of Boston.  For a final project, each student will design their own mock monetary policy briefing and present it to the class. 3 hrs. lect. (ECON 0111 [formerly ECON 0210] and ECON 0250) ",ECON0360A-F23,"Tuesday (Sep 11, 2023 to Dec 11, 2023)"
The Economics of Climate Change,,Economics ,11:15am-12:30pm,"Twilight Hall 201 (AXT 201)
		",Julia Berazneva ,"
In this course we will apply the tools of economic analysis to the problem of global climate change. The goal is to expose students to how economists approach this important policy problem. The course will begin with a review of reasons for policy interventions in markets and policy instrument choice. We will then focus on the measurement of damages from emissions of greenhouse gases. Subsequent topics will include: discounting, technology and abatement costs, benefit-cost analysis, uncertainty and catastrophic risk, and policies in practice. (ECON 0255; ECON 0265 encouraged). 3 hrs. lect. ",ECON0365A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Seminar on Economic Development,,Economics ,9:45am-11:00am,"Mahaney Center for the Arts 126 (MAC 126)
		",Sunder Ramaswamy ,"
Much of the world still faces the daily pain of poverty. Developing countries have to accelerate their growth rates, eradicate poverty, reduce inequalities, address environmental concerns, and create productive employment. We examine the major analytic and policy issues raised by these challenges and study the need for a productive balance between market forces and positive state action. With the help of case studies from Asia, Latin America, and Africa, we focus on different development strategies adopted, the choice of policy instruments, and methods of implementation. (ECON 0250 or IPEC 0240 [formerly ECON 0240] or ECON 0255) 3 hrs. sem. ",ECON0425A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
International Finance,,Economics ,11:15am-12:30pm,"Ross Commons Dining 011 (RCD 011)
		",David Munro ,"
An analysis of the world's financial system and the consequences for open economies of macroeconomic interdependence. Particular topics include: exchange rate determination, balance of payments adjustments, and monetary and fiscal policies in open economies. Special attention is paid to the issues and problems of the European Economic Community and European integration and debt in developing countries. (ECON 0250 or IPEC 0240 [formerly ECON 0240]) 3 hrs. sem. ",ECON0445A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
History of the Firm,CMP HIS SOC ,Economics ,12:45pm-2:00pm,"Warner Hall 010 (WNS 010)
		",Amanda Gregg ,"
In this course we will trace the history of firms from the Classical Age to the present, using theoretical and empirical economics to understand what makes a “firm,” how firms have been organized throughout history, why firm organization may differ across countries (e.g., early industrial firms in Europe vs. Latin America vs. the United States), and what firm structure implies for economic performance. Our discussion will rely on subfields like institutional economics, development, and finance. Final research papers will evaluate the organizational history of a single firm or the development of firm structures in an industry or country. (ECON 0211 and  ECON 0255 or ECON 0240 or IPEC 0240; or by approval) 3 hrs. sem. ",ECON0454A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Environment and Development,SOC ,Economics ,2:15pm-3:30pm,"Warner Hall 011 (WNS 011)
		",Julia Berazneva ,"
Climate change, air pollution, tropical deforestation: there is little doubt that economic development affects, and is affected by, the global and local environment and natural resources. In this course we will explore the complex relationship between environment and development using the theoretical and empirical tools of applied economic analysis. We will begin with pioneering research papers on the empirics of economic growth, examine the macroeconomic evidence, and then move to the micro foundations of the poverty-environment nexus. Major topics will include the resource curse and environmental Kuznets curve hypotheses, approaches for understanding responses to climate variability and disasters in poor communities, management of natural resources in smallholder agriculture, choosing policy instruments for pollution reduction, conservation, and environmental protection, and relationships between human health and the environment. We will conclude with a number of selected topics and issues of contemporary policy relevance. (ECON 0111 (formerly ECON 0210) and ECON 0255 or IPEC 0240 [formerly ECON 0240]) 3 hrs. sem. ",ECON0466A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Research in Behavioral and Experimental Economics,,Economics ,9:45am-11:00am,"Munroe Hall 401 (MNR 401)
		",Jeffrey Carpenter ,"
In this seminar we will consider current research topics in behavioral and experimental economics. Although the theme for the course is likely to change from semester to semester, all students will design their own study, gather decision-making data, and write a research paper summarizing their main findings. (ECON 0255) 3 hrs. sem. ",ECON0499A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Senior Research Workshop I,,Economics ,2:15pm-3:30pm,"Library 230 (LIB 230)
		",Erick Gong ,"
In this first semester, students will design and begin their projects. Emphasis will be on designing a novel research question (while making the case for its importance) and an appropriate strategy for answering it. This requires immersion in the academic literature on the topic. General research principles and tools will be taught in class, as a group, while those specific to individual projects will be covered in one-on-one meetings. By the end of the term, students will outline their plan for completing the project, including demonstrating that it is a feasible research question for which the necessary information (e.g., data or source materials) is available or can be generated by the student (e.g., lab or other experiment). (Approval required) ",ECON0701A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Senior Research Workshop I,,Economics ,1:30pm-4:15pm,"Warner Hall 100 (WNS 100)
		",Erin Wolcott ,"
In this first semester, students will design and begin their projects. Emphasis will be on designing a novel research question (while making the case for its importance) and an appropriate strategy for answering it. This requires immersion in the academic literature on the topic. General research principles and tools will be taught in class, as a group, while those specific to individual projects will be covered in one-on-one meetings. By the end of the term, students will outline their plan for completing the project, including demonstrating that it is a feasible research question for which the necessary information (e.g., data or source materials) is available or can be generated by the student (e.g., lab or other experiment). (Approval required) ",ECON0701B-F23,"Thursday (Sep 11, 2023 to Dec 11, 2023)"
Natural Hazards,SCI ,Earth & Climate Sciences ,11:15am-12:30pm,"McCardell Bicentennial Hall 417 (MBH 417)
		",Lizz Ultee ,"
Despite increasing technological sophistication, modern civilization remains vulnerable to natural hazards such as earthquakes, volcanic eruptions, tsunamis, flooding, landslides, extraterrestrial impacts, and other events. In this course we will consider the geologic mechanisms behind these hazards, the societal implications of these hazards, and approaches to reducing risk. Case studies will be combined with exploration of fundamental geologic concepts to provide students a foundation for understanding risk exposure and evaluating approaches to hazard management. (Not open to students who have taken GEOL 0112 or 0170) 3 hrs. lect./1 hr. disc. (formerly GEOL 0111) ",ECSC0111A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Earth’s Oceans and Coastlines,DED SCI ,Earth & Climate Sciences ,9:45am-10:35am,"McCardell Bicentennial Hall 417 (MBH 417)
		",Allison Jacobel ,"
In this course we explore our planet’s oceans and coastlines through the interdisciplinary study of marine geology, physics, biology, and chemistry. We use these fields as lenses through which we examine our reliance on the oceans for climate stability, food, economic resources, and waste dispersal, among a host of other ecosystem services. In parallel, we explore how humans are fundamentally altering coastal and marine ecosystems, posing unequally distributed, but increasingly severe threats to ocean and human health. In labs, we learn quantitative data visualization and analysis techniques making use of real-world observations and datasets.3 hrs. lect., 3 hrs. lab/field trips (formerly GEOL 0161) ",ECSC0161A-F23,"Monday, Wednesday, Friday (Sep 11, 2023 to Dec 11, 2023)"
Geologic Evolution of Vermont,CW SCI ,Earth & Climate Sciences ,11:15am-12:30pm,"McCardell Bicentennial Hall 417 (MBH 417)
		",David West ,"
This course explores the fascinating geology of Vermont. Students learn the geology through six field problems, involving extended trips around western Vermont. Lectures on the meaning of rocks support the fieldwork. The last few indoor labs are devoted to understanding the geologic map of Vermont. Emphasis is on descriptive writing and on use of data to interpret origin of rocks. Culminates in a written report on the geologic and plate tectonic evolution of Vermont. (One ECSC course) 3 hrs. lect., 3 hrs. lab/field trips (formerly GEOL 0201) ",ECSC0201A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Glaciology,SCI ,Earth & Climate Sciences ,9:45am-11:00am,"McCardell Bicentennial Hall 419 (MBH 419)
		",Lizz Ultee ,"
In this course we will detail the fundamental role of ice in Earth's climate system, integrating insights from observation, theory, and computer modelling to form a cohesive understanding of glaciers and ice sheets.  We will study the unique physics that allow glaciers to flow and break, the power of ice in shaping the landscape, and the flow of water from atmosphere to glacier to ocean and back again.  Discussions will treat recent developments in glaciology, as well as the role of glaciology in society.  A final project will invite students to develop expertise on a glaciological question of their choosing. (MATH 0122 and two 200-level courses in ECSC/GEOL, or by instructor approval; MATH 0223 is recommended)  (formerly GEOL 0362) ",ECSC0362A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Physical Volcanology,,Earth & Climate Sciences ,11:15am-12:30pm,"McCardell Bicentennial Hall 430 (MBH 430)
		",Sean Peters ,"
In this course, we will detail one of the fundamental geologic processes acting across the Solar System – volcanism.  We will study the fundamental principles that underlie volcanism, the different expressions observed at the surface, and predict what types of volcanism are expected under various conditions.  We will integrate insights from observations, theory, and modelling to form a cohesive understanding of volcanic principles.  This will entail why and how volcanism occurs, the formation of igneous rock, and the incorporation of volcanic deposits into the rock record.  Likewise, we will use our terrestrial understanding as a jump off point to explore volcanic processes on other planets.  A final project will invite students to apply the fundamental principles of volcanology learned during the semester to critically examine an active area of volcanology, develop the skills to critically analyze scientific data and literature, and effectively communicate their findings. (MATH 122 and two 200-level courses in GEOL/ECSC, or permission of instructor. Recommended ECSC 0311 or GEOL 0311 or ECSC or GEOL 0322) ",ECSC0375A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Senior Thesis Research Seminar,,Earth & Climate Sciences ,9:45am-11:00am,"McCardell Bicentennial Hall 430 (MBH 430)
		",Peter Ryan ,"
This seminar will focus on methods and strategies for completing advanced geological research and provides a springboard for senior thesis research. Topics will include field and laboratory techniques, primary literature review, and scientific writing. Students taking this course are expected to be simultaneously working on the early stages of their senior thesis research. During the semester students will present a thesis proposal and the seminar will culminate with each student completing a draft of the first chapter of their senior thesis. ECSC 0400 is required of all geology majors. 3 hrs. disc. or lab (formerly GEOL 0400) ",ECSC0400A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
English Language in Global Context,CMP SOC ,Education Studies ,9:45am-11:00am,"Le Chateau 109 (CHT 109)
		",Shawna Shapiro ,"
In this course we will discuss and write about the dominance of English in the global landscape. Course readings and films offer an interdisciplinary approach to the topic. We will begin the course with a geographic and historical overview of World Englishes and then will examine the impact of English language dominance on individuals and societies, emphasizing themes such as migration, globalization, education, and identity. Throughout the course, we will explore the relevance of these issues to educators, linguists, and policy-makers around the world. ",EDST0102A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Education in the USA,AMR SOC ,Education Studies ,11:15am-12:30pm,"Twilight Hall AUD (AXT AUD)
		",Jonathan Miller-Lane ,"
What are schools for? What makes education in a democracy unique? What counts as evidence of that uniqueness? What roles do schools play in educating citizens in a democracy for a democracy? In this course, we will engage these questions while investigating education as a social, cultural, political, and economic process. We will develop new understandings of current policy disputes regarding a broad range or educational issues by examining the familiar through different ideological and disciplinary lenses. 3 hrs. lect./1 hr. disc. ",EDST0115A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Education in the USA,AMR SOC ,Education Studies ,2:15pm-3:30pm,"Warner Hall 104 (WNS 104)
		",Melissa Hammerle ,"
What are schools for? What makes education in a democracy unique? What counts as evidence of that uniqueness? What roles do schools play in educating citizens in a democracy for a democracy? In this course, we will engage these questions while investigating education as a social, cultural, political, and economic process. We will develop new understandings of current policy disputes regarding a broad range or educational issues by examining the familiar through different ideological and disciplinary lenses. 3 hrs. lect./1 hr. disc. ",EDST0115B-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Understanding Educational Testing,DED SOC ,Education Studies ,2:15pm-3:30pm,"Twilight Hall AUD (AXT AUD)
		",Stephen Hoffman ,"
Achievement testing is now a cornerstone of education policy. It is also complex and routinely misunderstood by educators, policymakers, and the media.  In this course students will use statistical methods to explore and address testing issues that arise in both policy and practice. We will examine the uses and abuses of educational assessment. We will examine and interrogate trends and group differences in achievement. And we will broaden our understanding of essential concepts of measurement, such as reliability, validity, and bias, by analyzing both large and small datasets. Prior experience with the statistical package “R” is not required, as learning this package will be part of the course. 3 hrs. lect. ",EDST0213A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Culturally Relevant and Sustaining Pedagogies,AMR CMP SOC ,Education Studies ,9:45am-11:00am,"Axinn Center 229 (AXN 229)
		",Tara Affolter ,"
Gloria Ladson-Billings’ foundation work on culturally relevant pedagogy (CRP) rests on these core propositions—students must experience academic success; students must gain cultural competence in relation to their own culture and at least one other culture; and students must develop a critical consciousness. In this class we will examine CRP and other liberatory pedagogies such as Culturally Sustaining (Paris, 2012); Reality Pedagogy (Emdin, 2016), Abolitionist Teaching (Love, 2019) each of which “seek to open up possibilities,” so that students can bring their “whole self into the classroom and into the world.” (Ladson-Billings, 2021).  This is a required course for all students seeking a Vermont teaching licensure. (EDST 0115) 3 hrs. lect. ",EDST0215A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
NA,AMR CMP SOC ,Education Studies ,9:45am-11:00am,"Axinn Center 229 (AXN 229)
		",Tara Affolter ,NA,EDST0215B-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Educational Psychology: Learning in Schools,SOC ,Education Studies ,1:30pm-4:15pm,"Twilight Hall 206 (AXT 206)
		",Jonathan Miller-Lane ,"
In this course we will expand our understanding of learning and teaching while exploring principles, issues, and research in educational psychology. We will examine learning theories, complex cognitive processes, cognitive and emotional development, and motivation, and apply these constructs to effective instruction, the design of optimal learning environments, assessment of student learning, and teaching in diverse classrooms. (EDST 0115) 3 hrs. lect. ",EDST0237A-F23,"Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Elementary Science Methods,,Education Studies ,8:15am-9:30am,"Twilight Hall 206 (AXT 206)
		",Tracy Weston ,"
In this course we will investigate children’s scientific understanding and how to design learning experiences to advance their understanding. Working closely with practicing elementary school teachers, students will spend five days a week in the schools, observing science instruction, conducting assessments, lesson planning, and teaching standards-based lessons. Students will learn to use a claim/evidence/reasoning framework to develop children’s scientific explanations. We will also study recent research in science education and the engineering and design process. Students will gain an understanding of how to plan, implement, and assess science instruction through seminars. Students will also continue to work on their Vermont licensure portfolio. [Open to EDST Elementary Licensure candidates only]. (Approval Required) ",EDST0306A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
International and Cross Cultural Education,CMP SOC ,Education Studies ,1:30pm-4:15pm,"Ross Commons Dining 011 (RCD 011)
		",Trinh Tran ,"
Who gets to own knowledge?  Who can acquire it?  How do we construct advantage and disadvantage?  Comparative and international education examines the intersection of culture and education and the ways they are inextricably related through history, politics, and literature. In this course we will explore major concepts, trends, and methodologies across disciplines, focusing on the effects of globalization, the maintenance and dissolution of borders, the commodification of knowledge, the social creation of meaning, and the consequences of those constructions. We will examine global educational traditions and realities on the ground in case studies of Western and developing nations. ",EDST0375A-F23,"Monday (Sep 11, 2023 to Dec 11, 2023)"
Student Teaching in the Elementary School,non-standard grade ,Education Studies ,8:00am-8:50am,Main,Tracy Weston ,"
A semester-long practicum in a local elementary school under the direct supervision of an experienced cooperating teacher. (Corequisite: EDST 0410)  (Approval required) ",EDST0405A-F23,"Sunday (Sep 11, 2023 to Dec 11, 2023)"
Student Teaching in Elementary School,non-standard grade ,Education Studies ,8:00am-8:50am,Main,Tracy Weston ,"
See EDST 0405. (Approval required)",EDST0406A-F23,"Sunday (Sep 11, 2023 to Dec 11, 2023)"
Student Teaching in the Elementary School,non-standard grade ,Education Studies ,8:00am-8:50am,Main,Tracy Weston ,"
See EDST 0405.  (Approval required)",EDST0407A-F23,"Sunday (Sep 11, 2023 to Dec 11, 2023)"
Student Teaching Seminar,CW ,Education Studies ,3:00pm-5:45pm,"Twilight Hall 110 (AXT 110)
		",Tracy Weston ,"
Concurrent with student teaching, this course is designed to provide guidance in curriculum development and its implementation in the classroom, and to explore issues related to the teaching process and the profession. Students will construct a Teaching Licensure Portfolio as well as exchange ideas about their student teaching experiences. Topics including technology, classroom management, special education, and assessment will be featured. The Vermont Framework of Standards and Learning Opportunities, the five Standards for Vermont Educators, the Principles for Vermont Educators, and ROPA-R will guide the development of the Teacher Licensure Portfolio. (Corequisite: EDST 0405, EDST 0406, EDST 0407 or EDST 0415, EDST 0416 EDST 0417) (Approval required) 3 hrs. lect. ",EDST0410A-F23,"Tuesday (Sep 11, 2023 to Dec 11, 2023)"
Student Teaching in the Middle School/High School,non-standard grade ,Education Studies ,8:00am-8:50am,Main,,"
A semester-long practicum in a local middle or high school under the direct supervision of an experienced cooperating teacher. (Corequisite: EDST 0410)  (Approval required) ",EDST0415A-F23,"Sunday (Sep 11, 2023 to Dec 11, 2023)"
Student Teaching in the Middle School/High School,non-standard grade ,Education Studies ,8:00am-8:50am,Main,,"
See EDST 0415.   (Approval required)",EDST0416A-F23,"Sunday (Sep 11, 2023 to Dec 11, 2023)"
Student Teaching in the Middle School/High School,non-standard grade ,Education Studies ,8:00am-8:50am,Main,,"
See EDST 0415. (Approval required)",EDST0417A-F23,"Sunday (Sep 11, 2023 to Dec 11, 2023)"
Reading Literature,CW LIT ,English ,11:15am-12:30pm,"Munroe Hall 317 (MNR 317)
		",Yumna Siddiqi ,"
This course seeks to develop skills for the close reading of literature through discussion of and writing about selected poems, plays, and short stories from a wide range of eras and nations. A basic vocabulary of literary terms and an introductory palette of critical methods will also be covered; the course's ultimate goal will be to enable students to attain the literary-critical sensibility vital to further course work in the major. At the instructor's discretion, the texts employed in this class may share a particular thematic concern or historical kinship.” ",ENGL0103A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Transforming Identities in Literature,CW LIT ,English ,9:45am-11:00am,"Old Chapel 206 (OCH 206)
		",Marion Wells ,"
This course is designed to develop techniques for reading and writing about literary works through the lens of our chosen theme: the transformation of identities (in terms of race, class, gender, etc.) in literary works. We will read a range of plays, poetry, fiction, and creative non-fiction across temporal and natural boundaries, exploring the different critical methods and interpretive tools available to us. Both the thematic and skill-building arcs of the course will culminate in a reading of Toni Morrison’s novel The Song of Solomon in the context of several different--and sometimes contradictory--critical and theoretical approaches. Other readings will include Shakespeare’s Othello, Hwang’s M. Butterfly, essays by Virginia Woolf, Zadie Smith, and Emily Bernard, and short stories by Octavia Butler.” ",ENGL0103B-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
NA,CW LIT ,English ,9:45am-11:00am,"Old Chapel 206 (OCH 206)
		",Ryan Sheldon ,NA,ENGL0103C-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Adventures in Literary Romance (Pre-1800),LIT ,English ,11:15am-12:30pm,"Axinn Center 229 (AXN 229)
		",James Berg ,"
In this course we will explore the literary genre of romance.  Today, “romance” often refers to courtship—only one aspect of this ancient genre.  Other aspects include adventure, magic, wonder, multiple plots, multiple authors, an affinity for sequels.  Romance’s associations with every genre—tragedy, comedy, epic, novel, lyric poetry—and its reputation for escapism have made it an epitome of the very idea of literature, as conceived by attackers and defenders.  Its welcoming of female readers and protagonists and its marketing of the exotic have raised issues of gender and ethnicity.  We will discuss all such aspects and implications of romance, and we may also explore how romance has shaped modern television and film. No papers or exams; there will be quizzes daily on the reading, and students will be expected to participate thoughtfully in class discussions.  Readings from texts such as: Daphnis and Chloe, Ethiopian Romance, The Gospel of Luke, The Golden Ass, Arthurian romances by various authors, Orlando Inamorato, Orlando Furioso, The Countess of Pembroke’s Arcadia, The Merchant of Venice, The Winter’s Tale, Don Quixote,/ Waverly/, Madame Bovary, Lord of the Rings, The Chronicles of Narnia, and The Time Quintet. 3 hrs. lect. (Formerly ENAM 0123) ",ENGL0123A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Poetry and Performance,LIT ,English ,2:15pm-3:30pm,"Old Chapel 206 (OCH 206)
		",James Berg ,"
Most poems are meant to be performed.  In  this course we will explore many short poems and a few long poems, spanning three-quarters of a millennium, with performance in mind.  We will memorize poems, perform poems out loud for each other, and interpret poems with tone foremost in mind, on the theory that everything about a poem, from its form to its diction to its imagery to its historical or social context, instructs its reader as to its voice.  Texts will include diverse poems in English, from Middle English tales or lyrics to slam poetry, from Renaissance and Romantic lyrics to postcolonial poetry, from modernist experiments to indigenous poetry. Formal assignments will include recitations, presentations, a paper or two, and a poem, to be created, memorized, and performed by the student. 3 hrs. lect. (Formerly ENAM 0135) ",ENGL0135A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
"Writing: Poetry, Fiction, NonFiction",ART ,English ,2:15pm-3:30pm,"Twilight Hall 204 (AXT 204)
		",Karin Gottshall ,"
An introduction to the writing of poetry, short fiction, and nonfiction through analysis of writings by modern and contemporary poets and prose writers and regular discussion of student writing. Different instructors may choose to emphasize one literary form or another in a given semester. Workshops will focus on composition and revision, with particular attention to the basics of form and craft. This course is a prerequisite to ENAM 0370, ENAM 0375, ENAM 0380, and ENAM 0385. 3 hrs. lect. (Formerly ENAM 0170) ",ENGL0170A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
The Structure of Poetry,ART ,English ,2:15pm-3:30pm,"Twilight Hall 204 (AXT 204)
		",Karin Gottshall ," 
This course is a workshop for beginning students in the field of creative writing. Students will read a selection of poems each week and write their own poems, producing a portfolio of their work at the end of the term. There will be an emphasis on revision. Students will be introduced to a range of forms as well, including prose poems, epistles, the tanka, the long poem, and the sonnet. 3 hrs. lect. ",ENGL0175A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Introduction to Contemporary Literary Theory,EUR LIT ,English ,9:45am-10:35am,"Ross Commons Dining 011 (RCD 011)
		",Cates Baldridge ,"
In this course we will introduce several major schools of contemporary literary theory. By reading theoretical texts in close conjunction with works of literature, we will illuminate the ways in which these theoretical stances can produce multiple interpretations of a given literary work. The approaches covered may include New Criticism, Psychoanalysis, Marxism and Cultural Criticism, Race Theory and Multicultural Criticism, Feminism, Post-Colonial Criticism, Queer Studies, Eco-Criticism, Post-Structuralism, and others. These theories will be applied to various works of fiction, poetry, and drama. The goal will be to make students critically aware of the fundamental literary, cultural, political, and moral assumptions underlying every act of interpretation they perform.  3 hrs. lect/disc. (Formerly ENAM 0205) ",ENGL0205A-F23,"Monday, Wednesday, Friday (Sep 11, 2023 to Dec 11, 2023)"
American Literature and Culture: Origins-1830,AMR LIT ,English ,11:15am-12:30pm,Main,Ellery Foutch ,"
A study of literary and other cultural forms in early America, including gravestones, architecture, furniture and visual art.  We will consider how writing and these other forms gave life to ideas about religion, diversity, civic obligation and individual rights that dominated not only colonial life but that continue to influence notions of ""Americanness"" into the present day. Required for all majors and minors. 3 hrs. lect./disc. (Formerly ENAM 0209) ",ENGL0209A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
The American Modernists (AL),AMR LIT NOR ,English ,9:45am-11:00am,"Munroe Hall 406 (MNR 406)
		",Brett Millier ,"
 American writers at the turn of the 20th century faced social, intellectual, and technological change on an unprecedented scale.  Individually and collectively they worked to answer William Carlos Williams’s pressing question: “How can I be a mirror to this modernity?” In this course we will read, discuss, and write about poetry by writers such as Williams, T.S. Eliot, Ezra Pound, and Wallace Stevens; and prose by Henry Adams, Edith Wharton, Hemingway, Faulkner, Fitzgerald, Nella Larsen, Richard Wright, and others. (Formerly ENAM 0210) ",ENGL0210A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Multi-Ethnic American Literature,AMR CMP LIT SOC ,English ,12:45pm-2:00pm,"Munroe Hall 217 (MNR 217)
		",Jennifer Wang ,"
This course introduces multi-ethnic literature by studying the relationship between racial formation and literary representation. What role does literature play in the process of racialization? How are cultural representations of racialized difference formed in relation to its historical, material, and social conditions? We will critically analyze the nested issues of labour, law, and migration that have shaped Black, Indigenous, and Asian presence within North America. From there, we will explore the themes of assimilation, multiculturalism, diaspora, and empire in order to track the trajectory of minoritarian literature throughout the 20th and 21st centuries. Authors may include: Maxine Hong Kingston, Tomson Highway, and Toni Morrison. ",ENGL0224A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Forms of Enlightenment: Long Eighteenth-Century Literature and Culture (Pre-1800),EUR LIT ,English ,12:45pm-2:00pm,"Munroe Hall 317 (MNR 317)
		",Ryan Sheldon ,"
 In this course, we will explore the development of literary genres, forms, and institutions in long eighteenth-century (1660-1830) Britain and its empire. We will track how writers in the period reimagined knowledge production, social organization, and politics in print. As we consider the key questions of the moment—the relationships between sensations, ideas, and truth; between reason, sympathy, and self-interest—we will attend carefully to the contradictions, exclusions, and omissions that structure Enlightenment thought, particularly with respect to questions of race and colonialism. Authors might include Aphra Behn, Henry Neville, Alexander Pope, Jonathan Swift, Sarah Scott, Adam Smith, Olaudah Equiano, Ignatius Sancho, Edmund Burke, and Phillis Wheatley Peters. 3 hrs. lect./disc. (Formerly ENAM 0225) ",ENGL0225A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Global English in the New Media Environment,LIT SOC ,English ,9:45am-11:00am,"Ross Commons Dining 011 (RCD 011)
		",Benjamin Graves ,"
Far from spelling the end of literature, the rise of new technologies of communication has continually energized Anglophone literary production. Reading literature through the lens of media theory (Stuart Hall, Friedrich Kittler, Gilles Deleuze, Rey Chow) , students in this course will explore how the global circulation of information, media, and images has transformed the literary imagination. While we will sample canonical modernist engagements with earlier transformations in print and visual culture, our main goal will be to bridge the gap between media studies and Anglophone postcolonial literature throughout the world. Readings will be selected from Benyamin, Jasmine Days; Chimamanda Ngozie Adihchie, Americanah; NoViolet Bulawayo, We Need New Names; Karen Tei Yamashita, Through the Arc of the Rainforest; Zadie Smith, Swing Time; David Mitchell, Ghostwritten; and the poems of Jean Binta Breeze and Linton Kwesi Johnson.  3 hrs. lect. (REC) (Formerly ENAM 0233) ",ENGL0233A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Nineteenth Century British Literature (II),EUR LIT ,English ,12:45pm-2:00pm,"Axinn Center 109 (AXN 109)
		",Cates Baldridge ,"
The 19th century is the era of “peak novel,” for never before or since has the genre exhibited such confidence in its ability to tell the truth about both the teeming world and the private life.  But far from merely reflecting social reality, the novelists and poets of the period played an active part in constructing their readers' ideas about gender and sexuality, imperialism and colonialism, class, religion, and technology, insisting that literature be relevant and revelatory in a time of swift and sometimes frightening cultural and intellectual innovation.  Works to be covered will include novels by Emily Bronte, Dickens, George Eliot, and Hardy, and the poetry of Tennyson, Browning, and Christina Rossetti. 3 hrs. lect./disc.  (Formerly ENAM 0241) ",ENGL0241A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Poetry Games: Experimental Poetics and Avant-Garde Aesthetics,ART LIT ,English ,1:30pm-2:45pm,"Twilight Hall 110 (AXT 110)
		",Timothy Billings ,"
Not all poetry is, as William Wordsworth put it, “the spontaneous overflow of powerful feelings.” Some poetry challenges the very nature of language, art, and subjectivity through various self-decentering forms of writing. In this course, we will study a century’s worth of avant-garde experimental poetry, from the Dadaists and Surrealists to the Oulipo group, the L=A=N=G=U=A=G=E poets, and the conceptual and post-conceptual poetry movements of the 21st century, then create our own poetry using the same techniques and principles. The course is thus part survey and part writing workshop, with an emphasis on artistic process, linguistic theory, and the liberating power of constraints. Topics include: aleatory poetry, algorithmic poetry, blackout poetry, erasure poetry, concrete poetry, exquisite corpse, found poetry, homophonic translation, sound poetry, lipograms, S+7, etc. ",ENGL0245A-F23,"Tuesday (Sep 11, 2023 to Dec 11, 2023)"
